ID,Рецепт,Тип рецепта,Ингредиент,Тип ингредиента,Кол-во,Ед.,Комментарий,Старый тип,Источник
124,Бабл гам,Заготовка,Гвоздика,Сырьё,15,г,,покупное,Лист4!строка 138
125,Бабл гам,Заготовка,Розовый перец,Сырьё,0.8,г,,покупное,Лист4!строка 139
126,Бабл гам,Заготовка,Кизиловый концентрат,Сырьё,2,г,,покупное,Лист4!строка 140
127,Бабл гам,Заготовка,Банановое олео,Сырьё,100,мл,,покупное,Лист4!строка 141
128,Бабл гам,Заготовка,Водка,Сырьё,25,мл,,алко,Лист4!строка 142
129,Пюре из персиков,Заготовка,Нектарины,Сырьё,300,г,,покупное,Лист4!строка 143
130,Пюре из персиков,Заготовка,Сахарный сироп,Сырьё,100,мл,,Сахар,Лист4!строка 144
131,Пюре из персиков,Заготовка,Раствор молочной к-ты,Сырьё,60,мл,,покупное,Лист4!строка 145
132,Пюре из персиков,Заготовка,Апельсиновая вода,Сырьё,10,мл,,покупное,Лист4!строка 146
133,Пюре из персиков,Заготовка,Черёмуховая вода,Сырьё,10,мл,,покупное,Лист4!строка 147
134,Пюре из персиков,Заготовка,Ром/водка,Сырьё,30,мл,,алко,Лист4!строка 148
